time,occupiedRunways,occupiedGates,taxiQueueSize,avgRunwayWait,avgGateWait,utilization,notifyAllCount
1,0,0,0,0.0,0.0,0.00,0
2,0,0,0,0.0,0.0,0.00,0
3,0,0,0,0.0,0.0,0.00,0
4,1,0,0,0.0,0.0,0.00,0
5,2,3,1,26.2,0.0,0.15,0
6,0,3,0,17.4,142.0,0.20,0
7,0,0,0,13.1,142.0,0.18,0
8,0,0,0,13.1,142.0,0.15,0
9,0,0,0,13.1,142.0,0.14,0
10,0,0,0,13.1,142.0,0.12,0
11,0,0,0,13.1,142.0,0.11,0
12,0,0,0,13.1,142.0,0.10,0
13,0,0,0,13.1,142.0,0.09,0
14,0,0,0,13.1,142.0,0.09,0
15,0,0,0,13.1,142.0,0.08,0
16,0,0,0,13.1,142.0,0.08,0
17,0,0,0,13.1,142.0,0.07,0
18,0,0,0,13.1,142.0,0.07,0
19,0,0,0,13.1,142.0,0.06,0
20,0,0,0,13.1,142.0,0.06,0
21,0,0,0,13.1,142.0,0.06,0
22,0,0,0,13.1,142.0,0.06,0
23,0,0,0,13.1,142.0,0.05,0
24,0,0,0,13.1,142.0,0.05,0
25,0,0,0,13.1,142.0,0.05,0
26,0,0,0,13.1,142.0,0.05,0
27,0,0,0,13.1,142.0,0.05,0
28,0,0,0,13.1,142.0,0.04,0
29,0,0,0,13.1,142.0,0.04,0
30,0,0,0,13.1,142.0,0.04,0
31,0,0,0,13.1,142.0,0.04,0
32,0,0,0,13.1,142.0,0.04,0
33,0,0,0,13.1,142.0,0.04,0
34,0,0,0,13.1,142.0,0.04,0
35,0,0,0,13.1,142.0,0.04,0
36,0,0,0,13.1,142.0,0.03,0
37,0,0,0,13.1,142.0,0.03,0
38,1,0,0,15.4,142.0,0.04,0
39,0,0,0,15.4,142.0,0.05,0
40,0,0,0,15.4,142.0,0.05,0
41,0,0,0,15.4,142.0,0.04,0
42,0,0,0,15.4,142.0,0.04,0
43,0,0,0,15.4,142.0,0.04,0
44,0,0,0,15.4,142.0,0.04,0
45,0,0,0,15.4,142.0,0.04,0
46,0,2,0,13.6,106.5,0.05,0
47,2,0,0,11.0,106.5,0.05,0
48,0,0,0,21.4,106.5,0.06,0
